mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.004908959070841472,0.0007766083864905091,0.0026816527048746743,0.0003852466690913555,gini,10,4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1.0714972467441664,-0.6044898704143093,-0.7860038780186855,-0.8206636650590537,0.1922237377205478,35
0.005685885747273763,0.00282446408312008,0.0024340152740478516,0.0005700111402456603,gini,10,4,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",-1.0583865046761654,-0.5365030114984486,-0.6809448263705276,-0.758611447515047,0.220022230911407,22
0.007551908493041992,0.0030264634931501705,0.0038127899169921875,0.0016037665659441869,gini,20,1,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",-0.520846079888122,-0.7812557035955467,-1.429490569363653,-0.9105307842824407,0.38204950545578453,47
0.00518949826558431,0.002919690710645212,0.0023554166158040366,0.0010815776145814947,gini,20,1,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",-0.6650642426361337,-1.0668005110421612,-1.5870791468358902,-1.1063146335047283,0.37744659251088014,54
0.0045405228932698565,0.0007415709930808968,0.0024771690368652344,0.000496399314683144,gini,20,1,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",-0.7043964688401367,-0.808450447161891,-1.2456372289793767,-0.9194947149938014,0.2344973520430019,49
0.0029196739196777344,0.00019304260263574227,0.0018274784088134766,0.00027847677874803795,gini,20,2,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",-0.6781749847041347,-0.6180872421974815,-1.2062400846113173,-0.8341674371709779,0.26423622692562276,39
0.0029462178548177085,0.0002559339018459069,0.0016463597615559895,1.9607743914912534e-05,gini,20,2,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",-0.717507210908138,-0.6316846139806536,-0.9961219813150015,-0.7817712687345977,0.15556574285199498,29
0.002695480982462565,0.0002829621990233431,0.0016986529032389324,8.125686984775071e-06,gini,20,2,10,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",-0.5732890481601263,-0.45491878079941594,-1.193107703155298,-0.7404385107049466,0.3237127619706513,16
0.004522879918416341,0.002645579419023588,0.002617041269938151,0.001355763238444777,gini,20,4,2,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",-1.0714972467441664,-0.6044898704143093,-0.9961219813150015,-0.8907030328244924,0.20470928722175363,44
0.0029548009236653647,0.0005327063710870899,0.0017372767130533855,9.29547806992164e-05,gini,20,4,5,"{'criterion': 'gini', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",-1.0714972467441664,-0.6044898704143093,-0.7860038780186855,-0.8206636650590537,0.1922237377205478,35
