mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3999977111816406,0.12341884140183151,0.01719498634338379,0.007496096287992548,20,2,10,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.6126212743641295,-0.12858185800328537,-0.10312004230565863,-0.28144105822435783,0.2344103633750641,64
0.42263023058573407,0.015449733414246802,0.02442010243733724,0.004347679122651685,20,2,10,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.507735337820121,-0.12858185800328537,-0.08998766084963905,-0.24210161889101514,0.1884910828793837,27
0.24408880869547525,0.011376809784181813,0.022015174229939777,0.007910286338724789,20,4,2,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.4552923695481168,-0.1829713451359738,-0.14251718667371804,-0.2602603004526029,0.1388938820730424,44
0.41710098584493,0.08623408054584901,0.02422785758972168,0.007157198735176975,20,4,2,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-0.507735337820121,-0.1829713451359738,-0.08998766084963905,-0.2602314479352446,0.17908121624368084,42
0.7043699423472086,0.2848872044600461,0.02787947654724121,0.011344407167705371,20,4,2,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-0.507735337820121,-0.23736083226866223,-0.08998766084963905,-0.2783612769794741,0.17299144054629176,57
0.09803613026936848,0.0027939387522714185,0.007350365320841472,0.00011002448414997697,20,4,5,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",-0.507735337820121,-0.23736083226866223,-0.08998766084963905,-0.2783612769794741,0.17299144054629176,57
0.1959369977315267,0.0019275112025624091,0.011613845825195312,0.00013293255885489335,20,4,5,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",-0.507735337820121,-0.23736083226866223,-0.08998766084963905,-0.2783612769794741,0.17299144054629176,57
0.7815500100453695,0.2666645310243385,0.03587841987609863,0.0219766408222608,20,4,5,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",-0.507735337820121,-0.23736083226866223,-0.08998766084963905,-0.2783612769794741,0.17299144054629176,57
0.16040960947672525,0.0694356502694194,0.013591527938842773,0.004695143661431115,20,4,10,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.507735337820121,-0.1829713451359738,-0.08998766084963905,-0.2602314479352446,0.17908121624368084,42
0.48289966583251953,0.015570969502536093,0.03260143597920736,0.006801395023707582,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",-0.5601783060921253,-0.1829713451359738,-0.14251718667371804,-0.2952222793006057,0.18807871904087334,67
